species,family,movement_keyword,r_fin,kfin,geog_range,order,class,length,demers_pelag,diet_troph3,iucn_category,homerange,common_name,genus
Genypterus capensis,Ophidiidae,habitat_benthic,0.18214067,17592.3311,127500,Ophidiiformes,Actinopteri,180,bathydemersal,7.67E-04,NA,NA,Kingklip,Genypterus
Genypterus chilensis,Ophidiidae,habitat_benthic,0.203416315,22836.35898,125000,Ophidiiformes,Actinopteri,150,bathydemersal,6.77E-04,NA,NA,Red cusk-eel,Genypterus
Genypterus maculatus,Ophidiidae,habitat_benthic,0.203416315,31923.35869,170000,Ophidiiformes,Actinopteri,100,demersal,NA,NA,NA,Black cusk-eel,Genypterus
Chionoecetes japonicus,Oregoniidae,habitat_benthic,0.58,91309.89655,487500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chionoecetes opilio,Oregoniidae,habitat_benthic,0.58,803936.4213,3430000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allocyttus niger,Oreosomatidae,habitat_deep,0.064718913,161745.6084,2897500,Zeiformes,Actinopteri,47,bathypelagic,6.08E-04,NA,NA,Black oreo,Allocyttus
Pseudocyttus maculatus,Oreosomatidae,habitat_deep,0.109883806,271695.9556,2850000,Zeiformes,Actinopteri,68,bathydemersal,6.29E-04,DD,NA,Smooth oreo dory,Pseudocyttus
Osmerus eperlanus,Osmeridae,habitat_coastal,0.094547828,203386.2059,1180000,Osmeriformes,Actinopteri,45,pelagic-neritic,5.98E-04,LC,NA,European smelt,Osmerus
Osmerus mordax,Osmeridae,habitat_coastal,0.087755132,48591.9841,6640000,Osmeriformes,Actinopteri,35.59999847,pelagic-oceanic,3,NA,NA,Rainbow smelt,Osmerus
Crassostrea gigas,Ostreidae,sedentary,0.57,133242.407,767500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxynotus centrina,Oxynotidae,habitat_benthic,0.129505952,870.9097821,2822500,Squaliformes,Elasmobranchii,150,bathydemersal,3.06,VU,NA,Angular roughshark,Oxynotus
Nematopalaemon hastatus,Palaemonidae,habitat_coastal,1.19,15289.71429,690000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nematopalaemon schmitti,Palaemonidae,habitat_coastal,1.19,1307.885714,550000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jasus edwardsii,Palinuridae,habitat_benthic,0.52,77717.61492,512500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jasus lalandii,Palinuridae,habitat_benthic,0.425,45562.49983,102500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palinurus delagoae,Palinuridae,habitat_benthic,0.22,398.5818182,200000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palinurus elephas,Palinuridae,habitat_benthic,0.22,7812.036364,2272500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palinurus gilchristi,Palinuridae,habitat_benthic,0.22,4157.728487,75000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palinurus mauritanicus,Palinuridae,habitat_benthic,0.22,20.8,967500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panulirus argus,Palinuridae,habitat_benthic,0.55,175058.7927,2802500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panulirus cygnus,Palinuridae,habitat_benthic,1.15,24870.9913,102500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panulirus gracilis,Palinuridae,migratory,1.0175,231.5125307,452500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panulirus homarus,Palinuridae,habitat_benthic,1.0175,1588.713514,10630000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panulirus longipes,Palinuridae,habitat_benthic,1.0175,5685.609828,12102500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pandalus hypsinotus,Pandalidae,habitat_benthic,0.56,1067.15,1060000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pandalus jordani,Pandalidae,habitat_benthic,0.54,103032.1111,1080000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pandalus kessleri,Pandalidae,habitat_benthic,0.56,83.22142857,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citharichthys sordidus,Paralichthyidae,habitat_benthic,0.949478483,98.62677426,720000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paralichthys californicus,Paralichthyidae,habitat_benthic,0.686346119,215.8677611,375000,Pleuronectiformes,Actinopteri,152,demersal,7.77E-04,LC,NA,California flounder,Paralichthys
Paralichthys olivaceus,Paralichthyidae,habitat_benthic,0.873733883,18572.61021,1642500,Pleuronectiformes,Actinopteri,103,demersal,4.46,NA,1.49E-05,Bastard halibut,Paralichthys
Aequipecten opercularis,Pectinidae,sedentary,0.56,77375.08571,2715000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argopecten irradians,Pectinidae,sedentary,1.01,9416.475248,1030000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argopecten ventricosus,Pectinidae,sedentary,1.01,20144.79604,777500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pecten novaezelandiae,Pectinidae,sedentary,0.51,22355.44314,397500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placopecten magellanicus,Pectinidae,sedentary,0.56,220024.6036,1312500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artemesia longinaris,Penaeidae,habitat_benthic,0.52,1494.130769,475000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metapenaeus endeavouri,Penaeidae,habitat_benthic,0.93,5475.178495,4522500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metapenaeus joyneri,Penaeidae,habitat_coastal,1.02,5795.890196,1025000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metapenaeus monoceros,Penaeidae,sedentary,1.11,1194.342342,2802500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parapenaeus longirostris,Penaeidae,habitat_benthic,1.03,23683.6846,5340000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penaeus penicillatus,Penaeidae,habitat_benthic,1.083333333,7193.911387,1307500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penaeus semisulcatus,Penaeidae,migratory,1.18,15939.2923,11300000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xiphopenaeus kroyeri,Penaeidae,habitat_benthic,0.88,123756.1364,2917500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paristiopterus labiosus,Pentacerotidae,habitat_benthic,0.566320874,55.24076796,827500,Acropomatiformes,Actinopteri,100,demersal,3.33,NA,NA,Giant boarfish,Paristiopterus
Galeus melastomus,Pentanchidae,habitat_deep,0.188359255,2753.355548,3435000,Carcharhiniformes,Elasmobranchii,75,demersal,4.17,LC,NA,Blackmouth catshark,Galeus
Percophis brasiliensis,Percophidae,habitat_coastal,0.257794633,71909.87553,1072500,Perciformes/Percophoidei,Actinopteri,53.29999924,demersal,7.20E-04,NA,NA,Brazilian flathead,Percophis
Petromyzon marinus,Petromyzontidae,migratory,0.291680948,416.3453277,2705000,NA,NA,120,demersal,7.55E-04,LC,NA,Sea lamprey,Petromyzon
Petromyzon marinus,Petromyzontidae,migratory,0.291680948,416.3453277,2705000,Petromyzontiformes,Petromyzonti,120,demersal,7.55E-04,LC,NA,Sea lamprey,Petromyzon
Phycis blennoides,Phycidae,migratory,0.397379693,21238.72232,3255000,Gadiformes,Actinopteri,110,benthopelagic,6.32E-04,NA,NA,Greater forkbeard,Phycis
Phycis phycis,Phycidae,habitat_benthic,0.512241091,9656.663803,1815000,Gadiformes,Actinopteri,65,benthopelagic,4.25,LC,NA,Forkbeard,Phycis
Urophycis brasiliensis,Phycidae,habitat_benthic,0.37513184,23685.99795,62500,Gadiformes,Actinopteri,52.20000076,demersal,6.81E-04,NA,NA,Brazilian codling,Urophycis
Urophycis chuss,Phycidae,migratory,0.303554299,132954.9808,492500,Gadiformes,Actinopteri,66,demersal,3.72,NA,NA,Red hake,Urophycis
Urophycis tenuis,Phycidae,migratory,0.178334746,214826.6815,565000,Gadiformes,Actinopteri,133,demersal,4.27,NA,NA,White hake,Urophycis
Parapercis colias,Pinguipedidae,habitat_coastal,0.447064618,11421.44512,465000,Perciformes/Uranoscopoidei,Actinopteri,45,demersal,3.89,LC,NA,New Zealand blue cod,Parapercis
Prolatilus jugularis,Pinguipedidae,habitat_benthic,0.636895363,735.5556771,295000,Perciformes/Uranoscopoidei,Actinopteri,40,demersal,6.39E-04,NA,6.45E-06,Pacific sandperch,Prolatilus
Pseudopercis semifasciata,Pinguipedidae,habitat_benthic,0.636895363,14767.71311,700000,Perciformes/Uranoscopoidei,Actinopteri,100,demersal,6.70E-04,NA,NA,Argentinian sandperch,Pseudopercis
Grammoplites suppositus,Platycephalidae,habitat_benthic,0.42142105,144.2168111,1385000,Perciformes/Scorpaenoidei,Actinopteri,31,demersal,3.84,LC,NA,Spotfin flathead,Grammoplites
Platycephalus indicus,Platycephalidae,habitat_benthic,0.47872139,56660.6226,11915000,Perciformes/Scorpaenoidei,Actinopteri,100,reef-associated,3.6,DD,NA,Bartail flathead,Platycephalus
Atheresthes evermanni,Pleuronectidae,habitat_benthic,0.172236506,47522.58494,1745000,Pleuronectiformes,Actinopteri,100,demersal,4.3,NA,NA,Kamchatka flounder,Atheresthes
Atheresthes stomias,Pleuronectidae,habitat_benthic,0.192836543,6713308.943,1287500,Pleuronectiformes,Actinopteri,84,demersal,4.17,NA,NA,Arrow-tooth flounder,Atheresthes
Eopsetta jordani,Pleuronectidae,habitat_benthic,0.112547735,93498.74497,1140000,Pleuronectiformes,Actinopteri,53,demersal,7.08E-04,LC,NA,Petrale sole,Eopsetta
Glyptocephalus cynoglossus,Pleuronectidae,habitat_benthic,0.149820154,242414.0039,3570000,Pleuronectiformes,Actinopteri,60,demersal,3.17,NA,NA,Witch flounder,Glyptocephalus
Glyptocephalus zachirus,Pleuronectidae,habitat_benthic,0.186545885,46722.98191,1320000,Pleuronectiformes,Actinopteri,60,demersal,3.25,NA,NA,Rex sole,Glyptocephalus
Hippoglossoides elassodon,Pleuronectidae,habitat_benthic,0.179774811,2483813.465,277500,Pleuronectiformes,Actinopteri,52,demersal,3.67,NA,NA,Flathead sole,Hippoglossoides
Hippoglossoides platessoides,Pleuronectidae,habitat_benthic,0.145000355,972060.8501,4190000,Pleuronectiformes,Actinopteri,82.59999847,demersal,4.08,NA,NA,American plaice,Hippoglossoides
Hippoglossus hippoglossus,Pleuronectidae,habitat_benthic,0.11850261,219943.3248,5017500,Pleuronectiformes,Actinopteri,470,demersal,4,EN,NA,Atlantic halibut,Hippoglossus
Lepidopsetta bilineata,Pleuronectidae,habitat_benthic,0.174289797,5936610.18,2527500,Pleuronectiformes,Actinopteri,58,demersal,3.18,NA,NA,Rock sole,Lepidopsetta
Limanda aspera,Pleuronectidae,habitat_benthic,0.195797383,2213914.305,2760000,Pleuronectiformes,Actinopteri,49,demersal,3.49,NA,NA,Yellowfin sole,Limanda
Limanda ferruginea,Pleuronectidae,habitat_benthic,0.326508332,445752.6399,1120000,Pleuronectiformes,Actinopteri,64,demersal,3.28,NA,NA,Yellowtail flounder,Limanda
Limanda limanda,Pleuronectidae,habitat_benthic,0.461184433,97722.63055,1395000,Pleuronectiformes,Actinopteri,40,demersal,3,LC,NA,Common dab,Limanda
Microstomus kitt,Pleuronectidae,habitat_benthic,0.12105525,286647.3621,1532500,Pleuronectiformes,Actinopteri,65,demersal,5.54E-04,NA,NA,Lemon sole,Microstomus
Microstomus pacificus,Pleuronectidae,habitat_benthic,0.089528983,1695516.011,1172500,Pleuronectiformes,Actinopteri,76,demersal,3.22,NA,NA,Dover sole,Microstomus
Platichthys flesus,Pleuronectidae,habitat_benthic,0.340148283,148911.2792,1830000,Pleuronectiformes,Actinopteri,60,demersal,3.32,LC,NA,European flounder,Platichthys
Platichthys stellatus,Pleuronectidae,habitat_benthic,0.256053141,18964.81325,3655000,Pleuronectiformes,Actinopteri,91,demersal,3.58,LC,NA,Starry flounder,Platichthys
