species,family,movement_keyword,r_fin,kfin,geog_range,order,class,length,demers_pelag,diet_troph3,iucn_category,homerange,common_name,genus
Epinephelus polylepis,Serranidae,habitat_benthic,0.281408755,2055.955937,1007500,Perciformes/Serranoidei,Actinopteri,61,demersal,3.89,LC,NA,Smallscaled grouper,Epinephelus
Epinephelus summana,Serranidae,habitat_reef,0.286760108,154.7495583,345000,Perciformes/Serranoidei,Actinopteri,52,reef-associated,3.89,LC,NA,Summan grouper,Epinephelus
Epinephelus tauvina,Serranidae,habitat_reef,0.187076498,14708.16501,13810000,Perciformes/Serranoidei,Actinopteri,100,reef-associated,7.13E-04,DD,0.344,Greasy grouper,Epinephelus
Lepidoperca pulchella,Serranidae,habitat_reef,0.392822614,205.853729,322500,Perciformes/Serranoidei,Actinopteri,28,demersal,NA,NA,NA,Orange perch,Lepidoperca
Mycteroperca phenax,Serranidae,habitat_reef,0.21559573,154.0661309,1627500,Perciformes/Serranoidei,Actinopteri,107,reef-associated,4.47,DD,NA,Scamp,Mycteroperca
Paralabrax humeralis,Serranidae,habitat_benthic,0.274989376,36474.70373,862500,Perciformes/Serranoidei,Actinopteri,54.5,benthopelagic,4.12,DD,NA,Peruvian rock seabass,Paralabrax
Plectropomus areolatus,Serranidae,migratory,0.321726946,3094.997213,5310000,Perciformes/Serranoidei,Actinopteri,80,reef-associated,7.77E-04,VU,0.048,Squaretail coralgrouper,Plectropomus
Plectropomus pessuliferus,Serranidae,habitat_reef,0.321726946,1961.340225,8977500,Perciformes/Serranoidei,Actinopteri,120,reef-associated,4.42,LC,NA,Roving coralgrouper,Plectropomus
Serranus cabrilla,Serranidae,habitat_benthic,0.511028812,740.2557183,3617500,Perciformes/Serranoidei,Actinopteri,40,demersal,3.35,LC,0.77,Comber,Serranus
Variola louti,Serranidae,habitat_reef,0.375052579,3312.079611,12655000,Perciformes/Serranoidei,Actinopteri,83,reef-associated,4.33,LC,NA,Yellow-edged lyretail,Variola
Sicyonia brevirostris,Sicyoniidae,habitat_benthic,0.81,6510.202469,1497500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sicyonia ingentis,Sicyoniidae,habitat_benthic,0.81,179.8666667,240000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sillago sihama,Sillaginidae,habitat_coastal,0.712832445,3527.909001,9625000,Eupercaria/misc,Actinopteri,31,reef-associated,3.33,LC,NA,Silver sillago,Sillago
Austroglossus microlepis,Soleidae,habitat_benthic,0.185580881,11375.11571,307500,Pleuronectiformes,Actinopteri,75,bathydemersal,6.01E-04,DD,NA,West coast sole,Austroglossus
Austroglossus pectoralis,Soleidae,habitat_benthic,0.267643426,9694.211567,172500,Pleuronectiformes,Actinopteri,60,demersal,6.96E-04,NA,NA,Mud sole,Austroglossus
Dicologlossa cuneata,Soleidae,habitat_benthic,0.218533515,33465.21927,1607500,Pleuronectiformes,Actinopteri,30,demersal,5.73E-04,LC,NA,Wedge sole,Dicologlossa
Solea senegalensis,Soleidae,habitat_benthic,0.140517811,750.310577,920000,Pleuronectiformes,Actinopteri,60,demersal,5.61E-04,DD,0.717,Senegalese sole,Solea
Solea senegalensis,Soleidae,habitat_benthic,0.140517811,750.310577,920000,Pleuronectiformes,Actinopteri,60,demersal,5.61E-04,DD,0.88,Senegalese sole,Solea
Solea senegalensis,Soleidae,habitat_benthic,0.140517811,750.310577,920000,Pleuronectiformes,Actinopteri,60,demersal,5.61E-04,DD,1.189,Senegalese sole,Solea
Haliporoides diomedeae,Solenoceridae,habitat_benthic,0.96,310.9,380000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haliporoides triarthrus,Solenoceridae,habitat_benthic,0.96,4816.604167,732500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pleoticus muelleri,Solenoceridae,habitat_benthic,1.19,69172.1042,800000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopagrus berda,Sparidae,habitat_coastal,0.547748847,141.2034009,6690000,Eupercaria/misc,Actinopteri,90,demersal,6.05E-04,LC,NA,Goldsilk seabream,Acanthopagrus
Acanthopagrus bifasciatus,Sparidae,habitat_reef,0.48670769,1089.812244,815000,Eupercaria/misc,Actinopteri,36.20000076,reef-associated,5.86E-04,LC,NA,Twobar seabream,Acanthopagrus
Archosargus probatocephalus,Sparidae,habitat_reef,0.609579594,6582.156033,2200000,Eupercaria/misc,Actinopteri,91,reef-associated,6.10E-04,LC,NA,Sheepshead,Archosargus
Argyrops spinifer,Sparidae,habitat_coastal,0.494486133,11308.83887,13112500,Eupercaria/misc,Actinopteri,70,demersal,4.49,LC,NA,King soldier bream,Argyrops
Argyrozona argyrozona,Sparidae,habitat_reef,0.338460279,2946.780058,115000,Eupercaria/misc,Actinopteri,90,benthopelagic,NA,NT,NA,Carpenter seabream,Argyrozona
Cheimerius nufar,Sparidae,habitat_reef,0.437994781,141.3624149,3720000,Eupercaria/misc,Actinopteri,75,reef-associated,3.54,DD,NA,Santer seabream,Cheimerius
Crenidens crenidens,Sparidae,habitat_coastal,0.518987796,22.55929735,1897500,Eupercaria/misc,Actinopteri,30,demersal,4.84E-04,LC,NA,Karanteen seabream,Crenidens
Cymatoceps nasutus,Sparidae,habitat_coastal,0.189296689,107.9575144,135000,Eupercaria/misc,Actinopteri,150,demersal,6.15E-04,VU,NA,Black musselcracker,Cymatoceps
Dentex angolensis,Sparidae,habitat_coastal,0.458551505,6022.049797,622500,Eupercaria/misc,Actinopteri,37,demersal,6.08E-04,NT,NA,Angolan dentex,Dentex
Dentex congoensis,Sparidae,habitat_coastal,0.553307118,910.517836,485000,Eupercaria/misc,Actinopteri,50,demersal,6.41E-04,LC,NA,Congo dentex,Dentex
Dentex dentex,Sparidae,habitat_reef,0.29493487,13138.0328,1307500,Eupercaria/misc,Actinopteri,100,benthopelagic,4.53,VU,NA,Common dentex,Dentex
Dentex macrophthalmus,Sparidae,habitat_coastal,0.459706531,7598.044596,2190000,Eupercaria/misc,Actinopteri,65,benthopelagic,5.96E-04,LC,NA,Large-eye dentex,Dentex
Diplodus annularis,Sparidae,habitat_coastal,0.781098688,3757.532876,1425000,Eupercaria/misc,Actinopteri,27.5,benthopelagic,3.64,LC,NA,Annular seabream,Diplodus
Diplodus sargus,Sparidae,habitat_reef,0.54,9479,2037500,Eupercaria/misc,Actinopteri,45,demersal,3.38,LC,0.77,White seabream,Diplodus
Diplodus vulgaris,Sparidae,habitat_reef,0.582831707,1123.212743,1907500,Eupercaria/misc,Actinopteri,45,benthopelagic,3.52,LC,0.033474667,Common two-banded seabream,Diplodus
Diplodus vulgaris,Sparidae,habitat_reef,0.582831707,1123.212743,1907500,Eupercaria/misc,Actinopteri,45,benthopelagic,3.52,LC,0.54,Common two-banded seabream,Diplodus
Lithognathus mormyrus,Sparidae,habitat_reef,0.517022487,15943.68564,2035000,Eupercaria/misc,Actinopteri,55,demersal,5.91E-04,LC,NA,Sand steenbras,Lithognathus
Pagellus acarne,Sparidae,habitat_reef,0.478222754,12714.68568,2185000,Eupercaria/misc,Actinopteri,36,benthopelagic,3.81,LC,NA,Axillary seabream,Pagellus
Pagellus bellottii,Sparidae,habitat_reef,0.677967137,39137.32053,717500,Eupercaria/misc,Actinopteri,42,demersal,6.22E-04,LC,NA,Red pandora,Pagellus
Pagellus bogaraveo,Sparidae,habitat_reef,0.317996793,27771.31018,2387500,Eupercaria/misc,Actinopteri,70,benthopelagic,4.21,NT,NA,Blackspot seabream,Pagellus
Pagellus erythrinus,Sparidae,habitat_reef,0.467310419,54406.52942,2127500,Eupercaria/misc,Actinopteri,60,benthopelagic,3.48,LC,NA,Common pandora,Pagellus
Pagrus auratus,Sparidae,habitat_reef,0.212995064,308915.0836,1832500,Eupercaria/misc,Actinopteri,130,reef-associated,3.59,NA,0.0555,Silver seabream,Pagrus
Petrus rupestris,Sparidae,migratory,0.257114227,86.45184772,70000,Eupercaria/misc,Actinopteri,200,demersal,7.77E-04,EN,NA,Red steenbras,Petrus
Pterogymnus laniarius,Sparidae,habitat_reef,0.38424962,11543.00686,180000,Eupercaria/misc,Actinopteri,45,benthopelagic,6.20E-04,LC,NA,Panga seabream,Pterogymnus
Rhabdosargus globiceps,Sparidae,habitat_reef,0.441178878,452.4967304,235000,Eupercaria/misc,Actinopteri,65,benthopelagic,3.04,VU,NA,White stumpnose,Rhabdosargus
Rhabdosargus haffara,Sparidae,habitat_reef,0.560764579,9449.676744,992500,Eupercaria/misc,Actinopteri,35,reef-associated,6.05E-04,LC,NA,Haffara seabream,Rhabdosargus
Stenotomus chrysops,Sparidae,habitat_reef,0.347529243,268516.2125,602500,Eupercaria/misc,Actinopteri,46,demersal,3.82,NT,NA,Scup,Stenotomus
Sphyraena barracuda,Sphyraenidae,habitat_coastal,0.282732218,48650.52905,16007500,Carangaria/misc,Actinopteri,200,reef-associated,4.49,LC,1.39,Great barracuda,Sphyraena
Sphyraena barracuda,Sphyraenidae,habitat_coastal,0.282732218,48650.52905,16007500,Carangaria/misc,Actinopteri,200,reef-associated,4.49,LC,3.69,Great barracuda,Sphyraena
Sphyraena jello,Sphyraenidae,habitat_coastal,0.597620596,1405.594128,12932500,Carangaria/misc,Actinopteri,150,reef-associated,4.5,NA,NA,Pickhandle barracuda,Sphyraena
Sphyraena obtusata,Sphyraenidae,habitat_coastal,0.681157357,272.2131651,13422500,Carangaria/misc,Actinopteri,55,reef-associated,4.5,NA,NA,Obtuse barracuda,Sphyraena
Sphyraena sphyraena,Sphyraenidae,habitat_coastal,0.488918336,355.4622256,2112500,Carangaria/misc,Actinopteri,165,pelagic-neritic,6.98E-04,LC,NA,European barracuda,Sphyraena
Sphyrna lewini,Sphyrnidae,migratory,0.060196242,1665.951176,154935000,Carcharhiniformes,Elasmobranchii,430,pelagic-oceanic,4.08,EN,NA,Scalloped hammerhead,Sphyrna
Sphyrna zygaena,Sphyrnidae,migratory,0.114537904,782.1340932,186642500,Carcharhiniformes,Elasmobranchii,500,pelagic-oceanic,4.94,VU,NA,Smooth hammerhead,Sphyrna
Squalus acanthias,Squalidae,migratory,0.044399483,4539658.017,7900000,Squaliformes,Elasmobranchii,95,benthopelagic,4.37,VU,NA,Picked dogfish,Squalus
Squalus suckleyi,Squalidae,migratory,0.023825906,142366.0464,2047500,Squaliformes,Elasmobranchii,140,benthopelagic,4.244,LC,NA,Pacific spiny dogfish,Squalus
Squatina argentina,Squatinidae,habitat_benthic,0.100586599,279970.9344,380000,Squatiniformes,Elasmobranchii,170,demersal,4.11,EN,NA,Argentine angelshark,Squatina
Squatina californica,Squatinidae,habitat_benthic,0.075553373,8857.049935,415000,Squatiniformes,Elasmobranchii,152,demersal,4.14,NT,NA,Pacific angelshark,Squatina
Squilla mantis,Squillidae,sedentary,0.56,24487.9972,1820000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pampus argenteus,Stromateidae,habitat_coastal,0.666219294,220639.9265,7610000,Scombriformes,Actinopteri,60,benthopelagic,3.3,NA,NA,Silver pomfret,Pampus
Peprilus paru,Stromateidae,habitat_coastal,0.911406922,1395.855099,2995000,Scombriformes,Actinopteri,30,benthopelagic,4.5,LC,NA,American harvestfish,Peprilus
Peprilus triacanthus,Stromateidae,pelagic,0.700336418,217000.8587,1105000,Scombriformes,Actinopteri,30,benthopelagic,3.91,NA,NA,Atlantic butterfish,Peprilus
Stromateus brasiliensis,Stromateidae,pelagic,0.838796982,1481.297651,1062500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stromateus fiatola,Stromateidae,pelagic,0.838796982,9289.599466,1900000,Scombriformes,Actinopteri,50,benthopelagic,6.96E-04,LC,NA,Blue butterfish,Stromateus
Diastobranchus capensis,Synaphobranchidae,habitat_deep,0.367639439,2.752697054,3097500,Anguilliformes,Actinopteri,180,bathydemersal,7.77E-04,NA,NA,Basketwork eel,Diastobranchus
Harpadon nehereus,Synodontidae,habitat_benthic,0.452219992,1686496.541,7832500,Aulopiformes,Actinopteri,40,benthopelagic,7.05E-04,NA,NA,Bombay-duck,Harpadon
Saurida tumbil,Synodontidae,habitat_benthic,0.476043014,158872.8115,11872500,Aulopiformes,Actinopteri,60,reef-associated,4.4,LC,NA,Greater lizardfish,Saurida
Saurida undosquamis,Synodontidae,habitat_benthic,0.593538247,839.292165,6290000,Aulopiformes,Actinopteri,50,reef-associated,4.46,LC,NA,Brushtooth lizardfish,Saurida
Pelates quadrilineatus,Terapontidae,habitat_coastal,0.814152596,25.39081752,10432500,Centrarchiformes,Actinopteri,30,reef-associated,3.59,NA,NA,Fourlined terapon,Pelates
Hoplostethus atlanticus,Trachichthyidae,sedentary,0.161165492,184845.7687,9397500,Trachichthyiformes,Actinopteri,75,bathypelagic,4.25,NA,NA,Orange roughy,Hoplostethus
Trachipterus arcticus,Trachipteridae,habitat_deep,0.142305137,10.93425039,10997500,Lampriformes,Actinopteri,300,bathypelagic,7.77E-04,NA,NA,Dealfish,Trachipterus
Galeorhinus galeus,Triakidae,hms,0.04309589,60630.74761,9010000,Carcharhiniformes,Elasmobranchii,193,benthopelagic,4.34,VU,NA,Tope shark,Galeorhinus
Mustelus antarcticus,Triakidae,migratory,0.090020156,82313.47681,1092500,Carcharhiniformes,Elasmobranchii,157,demersal,7.69E-04,LC,NA,Gummy shark,Mustelus
Mustelus asterias,Triakidae,habitat_coastal,0.132933458,676.0675711,2710000,Carcharhiniformes,Elasmobranchii,140,demersal,3.62,LC,NA,Starry smooth-hound,Mustelus
Mustelus lenticulatus,Triakidae,migratory,0.100742592,67720.43334,837500,Carcharhiniformes,Elasmobranchii,125,demersal,3.51,LC,NA,Spotted estuary smooth-hound,Mustelus
Mustelus mustelus,Triakidae,habitat_coastal,0.13188713,20614.71813,3642500,Carcharhiniformes,Elasmobranchii,200,demersal,4.26,VU,NA,Smooth-hound,Mustelus
Mustelus schmitti,Triakidae,habitat_coastal,0.147496541,218155.9765,242500,Carcharhiniformes,Elasmobranchii,92,demersal,3.59,EN,NA,Narrownose smooth-hound,Mustelus
Aphanopus carbo,Trichiuridae,deep,0.346089063,84676.53886,2627500,Scombriformes,Actinopteri,151,bathypelagic,7.74E-04,NA,NA,Black scabbardfish,Aphanopus
Lepidopus caudatus,Trichiuridae,habitat_deep,0.292513559,223407.6131,3607500,Scombriformes,Actinopteri,210,benthopelagic,3.82,DD,NA,Silver scabbardfish,Lepidopus
Trichiurus lepturus,Trichiuridae,habitat_coastal,0.583280022,25390267.52,17082500,Scombriformes,Actinopteri,234,benthopelagic,4.42,LC,NA,Largehead hairtail,Trichiurus
Arctoscopus japonicus,Trichodontidae,habitat_benthic,0.630179269,108251.2158,1677500,Perciformes/Uranoscopoidei,Actinopteri,30,bathydemersal,6.06E-04,NA,NA,Japanese sandfish,Arctoscopus
Chelidonichthys capensis,Triglidae,habitat_benthic,0.277318922,8389.892709,515000,Perciformes/Scorpaenoidei,Actinopteri,75,demersal,4.1,LC,NA,Cape gurnard,Chelidonichthys
Chelidonichthys kumu,Triglidae,habitat_benthic,0.230796914,66428.5313,4697500,Perciformes/Scorpaenoidei,Actinopteri,60,demersal,6.36E-04,LC,NA,Bluefin gurnard,Chelidonichthys
Chelidonichthys lucerna,Triglidae,habitat_benthic,0.345644436,31757.21311,2402500,Perciformes/Scorpaenoidei,Actinopteri,75.09999847,demersal,3.98,LC,NA,Tub gurnard,Chelidonichthys
Eutrigla gurnardus,Triglidae,habitat_benthic,0.181531455,147714.1468,2227500,Perciformes/Scorpaenoidei,Actinopteri,60,demersal,3.87,NA,NA,Grey gurnard,Eutrigla
Pterygotrigla polyommata,Triglidae,habitat_benthic,0.388028988,1835.357723,1050000,Perciformes/Scorpaenoidei,Actinopteri,62,demersal,NA,NA,NA,Latchet,Pterygotrigla
Turbo cornutus,Turbinidae,sedentary,1.19,41318.28235,342500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kathetostoma giganteum,Uranoscopidae,sedentary,0.286276548,8495.281979,747500,Perciformes/Uranoscopoidei,Actinopteri,90,demersal,7.27E-04,NA,NA,Giant stargazer,Kathetostoma
Uranoscopus scaber,Uranoscopidae,sedentary,0.644695944,1454.422055,2260000,Perciformes/Uranoscopoidei,Actinopteri,40,demersal,7.57E-04,LC,NA,Stargazer,Uranoscopus
Chamelea gallina,Veneridae,sedentary,0.5,698474.72,1152500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mercenaria mercenaria,Veneridae,sedentary,0.43,124461.9442,295000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruditapes decussatus,Veneridae,sedentary,1.19,8513.442017,1797500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruditapes philippinarum,Veneridae,sedentary,1.19,381657.0319,9087500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tivela mactroides,Veneridae,sedentary,1.18,10232.43729,1027500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xiphias gladius,Xiphiidae,hms,0.315549819,1607020.835,266090000,Carangiformes,Actinopteri,455,pelagic-oceanic,4.53,LC,NA,Swordfish,Xiphias
Zenopsis conchifer,Zeidae,habitat_reef,0.246372114,3095.415258,8547500,Zeiformes,Actinopteri,80,benthopelagic,4.5,LC,NA,Silvery John dory,Zenopsis
Zeus faber,Zeidae,habitat_reef,0.213577785,218388.0506,10750000,Zeiformes,Actinopteri,90,benthopelagic,4.5,DD,NA,John dory,Zeus
Zoarces viviparus,Zoarcidae,sedentary,0.330738753,431.8090904,927500,Perciformes/Zoarcoidei,Actinopteri,52,demersal,5.99E-04,NA,NA,Eelpout,Zoarces
Trachysalambria curvirostris,Penaeidae,habitat_benthic,1.19,480050.121,13510000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litopenaeus setiferus,Penaeidae,habitat_benthic,0.56,1060197.093,665000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doryteuthis opalescens,Loliginidae,pelagic,0.93,721694.0559,230000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doryteuthis gahi,Loliginidae,migratory,0.48,961200.3,1215000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larimichthys crocea,Sciaenidae,habitat_coastal,0.601331042,464679.6398,1287500,Eupercaria/misc,Actinopteri,80,benthopelagic,6.43E-04,NA,NA,Large yellow croaker,Larimichthys
Liza haematocheila,Mugilidae,habitat_coastal,0.29332534,1052958.998,132500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tegillarca granosa,Arcidae,sedentary,0.85,505954.3341,10465000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fenneropenaeus chinensis,Penaeidae,migratory,0.88,247472.5818,265000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fenneropenaeus merguiensis,Penaeidae,habitat_benthic,1.18,171116.9322,8580000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sebastes norvegicus,Sebastidae,habitat_benthic,0.057488971,957274.6049,9940000,Perciformes/Scorpaenoidei,Actinopteri,100,pelagic-oceanic,6.98E-04,NA,NA,Golden redfish,Sebastes
Metacarcinus magister,Cancridae,habitat_coastal,0.57,153382.2386,490000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doryteuthis pealeii,Loliginidae,migratory,0.705,329796.6865,1630000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pleuronectes quadrituberculatus,Pleuronectidae,habitat_benthic,0.120334472,1596669.955,2015000,Pleuronectiformes,Actinopteri,87,bathydemersal,3.59,NA,NA,Alaska plaice,Pleuronectes
Pseudopleuronectes herzensteini,Pleuronectidae,habitat_benthic,0.483128298,114429.6126,427500,Pleuronectiformes,Actinopteri,50,demersal,3.465,NA,NA,Yellow striped flounder,Pseudopleuronectes
Farfantepenaeus notialis,Penaeidae,habitat_benthic,0.46,63454.40544,2132500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Farfantepenaeus aztecus,Penaeidae,habitat_benthic,0.52,383429.7769,2997500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kajikia audax,Istiophoridae,pelagic,0.347408374,211745.0033,157757500,Carangiformes,Actinopteri,420,pelagic-oceanic,7.77E-04,NT,NA,Striped marlin,Kajikia
Nemadactylus bergi,Cheilodactylidae,habitat_benthic,0.189455252,79880.58309,1332500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucoraja naevus,Rajidae,habitat_benthic,0.067479913,231593.3632,1812500,Rajiformes,Elasmobranchii,71,demersal,4.21,LC,NA,Cuckoo ray,Leucoraja
Farfantepenaeus duorarum,Penaeidae,pelagic,0.51,89906.86275,1345000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Istiompax indica,Istiophoridae,hms,0.361545431,81885.01212,171002500,Carangiformes,Actinopteri,465,pelagic-oceanic,4.5,DD,NA,Black marlin,Istiompax
Melicertus kerathurus,Penaeidae,habitat_benthic,0.57,18128.59649,1392500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Farfantepenaeus californiensis,Penaeidae,habitat_benthic,0.92,11513.31739,1155000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Farfantepenaeus brevirostris,Penaeidae,habitat_benthic,0.55,15672.13818,482500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithodes aequispinus,Lithodidae,habitat_benthic,0.57,23560.11228,1267500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleginus nawaga,Gadidae,habitat_coastal,0.379867916,17168.72556,195000,Gadiformes,Actinopteri,42,demersal,7.32E-04,NA,NA,Navaga,Eleginus
Melicertus latisulcatus,Penaeidae,habitat_benthic,1.12,5298.535714,9835000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parophrys vetulus,Pleuronectidae,migratory,0.313793044,65639.93815,1230000,Pleuronectiformes,Actinopteri,49,demersal,5.86E-04,NA,0.01,English sole,Parophrys
Parophrys vetulus,Pleuronectidae,migratory,0.313793044,65639.93815,1230000,Pleuronectiformes,Actinopteri,49,demersal,5.86E-04,NA,0.044,English sole,Parophrys
Amblyraja radiata,Rajidae,migratory,0.107515916,72849.51463,2705000,Rajiformes,Elasmobranchii,105,demersal,4.2,VU,NA,Starry ray,Amblyraja
Chelidonichthys cuculus,Triglidae,habitat_benthic,0.230982835,32190.66906,3207500,Perciformes/Scorpaenoidei,Actinopteri,70,demersal,3.81,LC,NA,Red gurnard,Chelidonichthys
Moolgarda seheli,Mugilidae,habitat_coastal,0.655286485,6271.998727,7642500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kajikia albida,Istiophoridae,hms,0.387272323,12797.19646,48362500,Carangiformes,Actinopteri,300,pelagic-oceanic,4.49,VU,NA,Atlantic white marlin,Kajikia
Litopenaeus occidentalis,Penaeidae,habitat_benthic,0.89,3042.359551,267500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zenopsis nebulosa,Zeidae,deep,0.198679481,18348.48763,6145000,Zeiformes,Actinopteri,70,benthopelagic,7.58E-04,NA,NA,Mirror dory,Zenopsis
Netuma thalassinus,Ariidae,habitat_coastal,0.31,6650.593548,12022500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litopenaeus vannamei,Penaeidae,habitat_benthic,0.7,2378.222857,6652500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meuschenia scaber,Monacanthidae,habitat_coastal,1.031915321,1370.926443,1115000,Tetraodontiformes,Actinopteri,31,demersal,3.11,LC,NA,Velvet leatherjacket,Meuschenia
Dipturus batis,Rajidae,habitat_benthic,0.066409282,16228.27363,2040000,Rajiformes,Elasmobranchii,285,demersal,3.52,CR,NA,Blue skate,Dipturus
Alosa immaculata,Clupeidae,migratory,0.989034626,984.1313685,90000,Clupeiformes,Actinopteri,39,pelagic-neritic,3.98,VU,NA,Pontic shad,Alosa
Conger orbignianus,Congridae,habitat_benthic,0.269522379,3468.19438,515000,Anguilliformes,Actinopteri,112,demersal,6.43E-04,LC,NA,Argentine conger,Conger
Acanthopagrus schlegelii,Sparidae,habitat_coastal,0.44458551,2274.073215,675000,Eupercaria/misc,Actinopteri,50,demersal,5.60E-04,NA,0.364,Blackhead seabream,Acanthopagrus
Pegusa lascaris,Soleidae,habitat_benthic,0.191168732,4141.827964,2572500,Pleuronectiformes,Actinopteri,40,demersal,3.29,LC,NA,Sand sole,Pegusa
Leucoraja circularis,Rajidae,habitat_benthic,0.108265278,7611.489253,2335000,Rajiformes,Elasmobranchii,120,demersal,6.05E-04,EN,NA,Sandy ray,Leucoraja
Balistes capriscus,Balistidae,habitat_reef,0.824568385,919.7102554,5260000,Tetraodontiformes,Actinopteri,60,reef-associated,4.06,VU,0.0013065,Grey triggerfish,Balistes
Hyporthodus flavolimbatus,Serranidae,habitat_benthic,0.175094567,8566.79922,2205000,Perciformes/Serranoidei,Actinopteri,115,demersal,6.60E-04,VU,NA,Yellowedge grouper,Hyporthodus
Dipturus oxyrinchus,Rajidae,habitat_benthic,0.162442229,2751.698267,2827500,Rajiformes,Elasmobranchii,150,bathydemersal,3.5,NT,NA,Longnosed skate,Dipturus
Leucoraja fullonica,Rajidae,habitat_benthic,0.108265278,3675.453547,2042500,Rajiformes,Elasmobranchii,120,bathydemersal,6.05E-04,VU,NA,Shagreen ray,Leucoraja
Hyporthodus niveatus,Serranidae,habitat_reef,0.165514413,4588.700079,2735000,Perciformes/Serranoidei,Actinopteri,122,demersal,6.98E-04,VU,NA,Snowy grouper,Hyporthodus
Pentaceros richardsoni,Pentacerotidae,habitat_benthic,0.392870269,854.3380003,3077500,Acropomatiformes,Actinopteri,56,pelagic-oceanic,6.05E-04,NA,NA,Pelagic armourhead,Pentaceros
Trigloporus lastoviza,Triglidae,habitat_benthic,0.194942701,2298.95245,3120000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herklotsichthys quadrimaculatus,Clupeidae,habitat_coastal,1.740456307,44.00455196,9417500,Clupeiformes,Actinopteri,25,reef-associated,3.57,LC,NA,Bluestripe herring,Herklotsichthys
Lepidonotothen squamifrons,Nototheniidae,habitat_benthic,0.233506431,171.421403,995000,Perciformes/Notothenioidei,Actinopteri,55,benthopelagic,6.03E-04,NA,NA,Grey rockcod,Lepidonotothen
Hyporthodus nigritus,Serranidae,habitat_reef,0.138991562,245.8566514,2572500,Perciformes/Serranoidei,Actinopteri,230,demersal,6.86E-04,NT,NA,Warsaw grouper,Hyporthodus
Hyporthodus mystacinus,Serranidae,habitat_deep,0.192928912,30.08361961,1890000,Perciformes/Serranoidei,Actinopteri,160,bathydemersal,4.58,LC,NA,Misty grouper,Hyporthodus
